date,time,commits,day_count,avg_commits
Wednesday,3PM,2,6,0.3333333333333333
Wednesday,4PM,2,6,0.3333333333333333
Wednesday,4PM,1,6,0.16666666666666666
Wednesday,5PM,0,0,0.0
Wednesday,6PM,0,0,0.0
Wednesday,7PM,0,0,0.0
Wednesday,8PM,0,0,0.0
Wednesday,9PM,3,6,0.5
Wednesday,10PM,1,6,0.16666666666666666
Wednesday,11PM,0,0,0.0
Thursday,12AM,3,5,0.6
Thursday,1AM,0,0,0.0
Thursday,2AM,0,0,0.0
Thursday,3AM,0,0,0.0
Thursday,4AM,0,0,0.0
Thursday,5AM,0,0,0.0
Thursday,6AM,0,0,0.0
Thursday,7AM,0,0,0.0
Thursday,8AM,0,0,0.0
Thursday,9AM,3,5,0.6
Thursday,10AM,4,5,0.8
Thursday,10AM,4,5,0.8
Thursday,11AM,1,5,0.2
Thursday,12PM,2,5,0.4
Thursday,1PM,2,5,0.4
Thursday,1PM,1,5,0.2
Thursday,2PM,1,5,0.2
Thursday,2PM,1,5,0.2
Thursday,3PM,3,5,0.6
Thursday,3PM,1,5,0.2
Thursday,3PM,1,5,0.2
Thursday,4PM,3,5,0.6
Thursday,4PM,1,5,0.2
Thursday,5PM,0,0,0.0
Thursday,6PM,2,5,0.4
Thursday,7PM,0,0,0.0
Thursday,8PM,0,0,0.0
Thursday,9PM,1,5,0.2
Thursday,10PM,0,0,0.0
Thursday,11PM,0,0,0.0
Friday,12AM,0,0,0.0
Friday,1AM,1,5,0.2
Friday,2AM,1,5,0.2
Friday,3AM,0,0,0.0
Friday,4AM,0,0,0.0
Friday,5AM,0,0,0.0
Friday,6AM,0,0,0.0
Friday,7AM,0,0,0.0
Friday,8AM,0,0,0.0
Friday,9AM,2,5,0.4
Friday,10AM,0,0,0.0
Friday,11AM,1,5,0.2
Friday,12PM,0,0,0.0
Friday,1PM,0,0,0.0
Friday,2PM,1,5,0.2
Friday,3PM,1,5,0.2
Friday,4PM,1,5,0.2
Friday,5PM,0,0,0.0
Friday,6PM,0,0,0.0
Friday,7PM,0,0,0.0
Friday,8PM,0,0,0.0
Friday,9PM,0,0,0.0
Friday,10PM,1,5,0.2
Friday,11PM,1,5,0.2
Friday,11PM,1,5,0.2
Saturday,12AM,0,0,0.0
Saturday,1AM,0,0,0.0
Saturday,2AM,0,0,0.0
Saturday,3AM,0,0,0.0
Saturday,4AM,0,0,0.0
Saturday,5AM,0,0,0.0
Saturday,6AM,0,0,0.0
Saturday,7AM,0,0,0.0
Saturday,8AM,0,0,0.0
Saturday,9AM,0,0,0.0
Saturday,10AM,0,0,0.0
Saturday,11AM,0,0,0.0
Saturday,12PM,0,0,0.0
Saturday,1PM,0,0,0.0
Saturday,2PM,0,0,0.0
Saturday,3PM,0,0,0.0
Saturday,4PM,0,0,0.0
Saturday,5PM,0,0,0.0
Saturday,6PM,1,5,0.2
Saturday,7PM,0,0,0.0
Saturday,8PM,0,0,0.0
Saturday,9PM,0,0,0.0
Saturday,10PM,0,0,0.0
Saturday,11PM,1,5,0.2
Saturday,11PM,1,5,0.2
